Designator,Mid X,Mid Y,Rotation,Layer
C1,128.031021,-90.374713,0.0,top
C2,125.110021,-92.357713,90.0,top
C3,151.7,-81.2,90.0,top
C4,151.8,-84.0,270.0,top
C5,153.1156,-103.29,0.0,top
C6,153.1156,-104.814,0.0,top
C7,143.7,-79.95,270.0,top
C8,141.9,-79.649,270.0,top
C9,153.035,-101.131,90.0,top
D1,154.9444,-97.4504,90.0,top
D2,154.919,-99.203,270.0,top
D3,122.174,-80.01,180.0,top
D4,126.529021,-85.562713,180.0,top
D5,125.5,-101.8,0.0,top
D6,125.5,-103.6,0.0,top
J2,112.1498,-100.088,270.0,top
J3,114.806,-86.106,90.0,top
J4,160.782,-98.679,270.0,top
J5,159.369,-85.003,270.0,top
L1,126.721021,-97.486713,180.0,top
Q1,153.162,-94.488,90.0,top
R1,118.237,-98.5,0.0,top
R10,136.7,-84.7,0.0,top
R11,152.32,-88.41,90.0,top
R12,145.8,-83.9,270.0,top
R13,152.006,-101.153,90.0,top
R14,154.051,-101.131,90.0,top
R15,140.2,-84.709,180.0,top
R16,134.618,-84.709,0.0,top
R17,151.7,-90.9,270.0,top
R18,155.956,-93.98,0.0,top
R2,118.237,-102.235,0.0,top
R20,128.71,-101.8,180.0,top
R21,128.7,-103.0,180.0,top
R3,155.956,-92.964,180.0,top
R4,154.684,-96.012,180.0,top
R5,152.5612,-99.0896,180.0,top
R6,152.5612,-97.8196,0.0,top
R7,141.9,-83.9,270.0,top
R8,143.2,-83.9,270.0,top
R9,144.5,-83.9,270.0,top
U1,141.3256,-99.022,180.0,top
U2,137.222,-81.28,90.0,top
U3,118.8448,-100.596,0.0,top
U4,127.638021,-93.107713,270.0,top
